Category,Region,Year,Unit,Value
Total,Giurgiu,2014, Thousands hectares,38.8
Total,Giurgiu,2015, Thousands hectares,38.9
Total,Giurgiu,2016, Thousands hectares,38.9
Total,Giurgiu,2017, Thousands hectares,38.7
Total,Giurgiu,2018, Thousands hectares,38.8
Total,Giurgiu,2019, Thousands hectares,38.9
Total,Ialomita,1990, Thousands hectares,25.8
Total,Ialomita,1991, Thousands hectares,25.8
Total,Ialomita,1992, Thousands hectares,25.7
Total,Ialomita,1993, Thousands hectares,25.7
Total,Ialomita,1994, Thousands hectares,25.7
Total,Ialomita,1995, Thousands hectares,25.8
Total,Ialomita,1996, Thousands hectares,25.7
Total,Ialomita,1997, Thousands hectares,25.7
Total,Ialomita,1998, Thousands hectares,25.7
Total,Ialomita,1999, Thousands hectares,25.7
Total,Ialomita,2000, Thousands hectares,25.7
Total,Ialomita,2001, Thousands hectares,25.7
Total,Ialomita,2002, Thousands hectares,25.9
Total,Ialomita,2003, Thousands hectares,26.0
Total,Ialomita,2004, Thousands hectares,26.0
Total,Ialomita,2005, Thousands hectares,26.0
Total,Ialomita,2006, Thousands hectares,26.2
Total,Ialomita,2007, Thousands hectares,26.1
Total,Ialomita,2008, Thousands hectares,26.1
Total,Ialomita,2009, Thousands hectares,26.0
Total,Ialomita,2010, Thousands hectares,26.0
Total,Ialomita,2011, Thousands hectares,26.1
Total,Ialomita,2012, Thousands hectares,26.3
Total,Ialomita,2013, Thousands hectares,26.2
Total,Ialomita,2014, Thousands hectares,26.2
Total,Ialomita,2015, Thousands hectares,26.2
Total,Ialomita,2016, Thousands hectares,26.2
Total,Ialomita,2017, Thousands hectares,26.1
Total,Ialomita,2018, Thousands hectares,26.1
Total,Ialomita,2019, Thousands hectares,26.1
Total,Prahova,1990, Thousands hectares,149.3
Total,Prahova,1991, Thousands hectares,149.1
Total,Prahova,1992, Thousands hectares,149.0
Total,Prahova,1993, Thousands hectares,148.6
Total,Prahova,1994, Thousands hectares,147.5
Total,Prahova,1995, Thousands hectares,147.7
Total,Prahova,1996, Thousands hectares,148.2
Total,Prahova,1997, Thousands hectares,148.1
Total,Prahova,1998, Thousands hectares,148.1
Total,Prahova,1999, Thousands hectares,148.1
Total,Prahova,2000, Thousands hectares,148.0
Total,Prahova,2001, Thousands hectares,148.0
Total,Prahova,2002, Thousands hectares,147.5
Total,Prahova,2003, Thousands hectares,146.5
Total,Prahova,2004, Thousands hectares,146.5
Total,Prahova,2005, Thousands hectares,147.7
Total,Prahova,2006, Thousands hectares,147.3
Total,Prahova,2007, Thousands hectares,146.5
Total,Prahova,2008, Thousands hectares,146.7
Total,Prahova,2009, Thousands hectares,146.5
Total,Prahova,2010, Thousands hectares,147.3
Total,Prahova,2011, Thousands hectares,147.3
Total,Prahova,2012, Thousands hectares,146.5
Total,Prahova,2013, Thousands hectares,146.5
Total,Prahova,2014, Thousands hectares,146.5
Total,Prahova,2015, Thousands hectares,146.5
Total,Prahova,2016, Thousands hectares,146.6
Total,Prahova,2017, Thousands hectares,146.5
Total,Prahova,2018, Thousands hectares,146.5
Total,Prahova,2019, Thousands hectares,146.5
Total,Teleorman,1990, Thousands hectares,28.2
Total,Teleorman,1991, Thousands hectares,28.1
Total,Teleorman,1992, Thousands hectares,28.1
Total,Teleorman,1993, Thousands hectares,28.1
Total,Teleorman,1994, Thousands hectares,29.4
Total,Teleorman,1995, Thousands hectares,29.2
Total,Teleorman,1996, Thousands hectares,29.1
Total,Teleorman,1997, Thousands hectares,28.9
Total,Teleorman,1998, Thousands hectares,28.9
Total,Teleorman,1999, Thousands hectares,28.7
Total,Teleorman,2000, Thousands hectares,28.7
Total,Teleorman,2001, Thousands hectares,28.7
Total,Teleorman,2002, Thousands hectares,28.7
Total,Teleorman,2003, Thousands hectares,28.8
Total,Teleorman,2004, Thousands hectares,28.8
Total,Teleorman,2005, Thousands hectares,28.7
Total,Teleorman,2006, Thousands hectares,29.7
Total,Teleorman,2007, Thousands hectares,28.9
Total,Teleorman,2008, Thousands hectares,28.9
Total,Teleorman,2009, Thousands hectares,28.9
Total,Teleorman,2010, Thousands hectares,29.9
Total,Teleorman,2011, Thousands hectares,28.8
Total,Teleorman,2012, Thousands hectares,29.0
Total,Teleorman,2013, Thousands hectares,28.9
Total,Teleorman,2014, Thousands hectares,29.1
Total,Teleorman,2015, Thousands hectares,29.0
Total,Teleorman,2016, Thousands hectares,29.0
Total,Teleorman,2017, Thousands hectares,29.1
Total,Teleorman,2018, Thousands hectares,29.0
Total,Teleorman,2019, Thousands hectares,29.3
Total,Regiunea BUCURESTI - ILFOV,1990, Thousands hectares,26.3
Total,Regiunea BUCURESTI - ILFOV,1991, Thousands hectares,19.9
Total,Regiunea BUCURESTI - ILFOV,1992, Thousands hectares,26.3
Total,Regiunea BUCURESTI - ILFOV,1993, Thousands hectares,26.2
Total,Regiunea BUCURESTI - ILFOV,1994, Thousands hectares,26.5
Total,Regiunea BUCURESTI - ILFOV,1995, Thousands hectares,26.3
Total,Regiunea BUCURESTI - ILFOV,1996, Thousands hectares,26.3
Total,Regiunea BUCURESTI - ILFOV,1997, Thousands hectares,26.4
Total,Regiunea BUCURESTI - ILFOV,1998, Thousands hectares,26.4
Total,Regiunea BUCURESTI - ILFOV,1999, Thousands hectares,26.2
Total,Regiunea BUCURESTI - ILFOV,2000, Thousands hectares,26.5
Total,Regiunea BUCURESTI - ILFOV,2001, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2002, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2003, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2004, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2005, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2006, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2007, Thousands hectares,26.5
Total,Regiunea BUCURESTI - ILFOV,2008, Thousands hectares,26.5
Total,Regiunea BUCURESTI - ILFOV,2009, Thousands hectares,26.3
Total,Regiunea BUCURESTI - ILFOV,2010, Thousands hectares,26.4
Total,Regiunea BUCURESTI - ILFOV,2011, Thousands hectares,26.4
Total,Regiunea BUCURESTI - ILFOV,2012, Thousands hectares,26.4
Total,Regiunea BUCURESTI - ILFOV,2013, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2014, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2015, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2016, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2017, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2018, Thousands hectares,26.6
Total,Regiunea BUCURESTI - ILFOV,2019, Thousands hectares,26.7
Total,Ilfov,1990, Thousands hectares,26.3
Total,Ilfov,1991, Thousands hectares,19.9
Total,Ilfov,1992, Thousands hectares,26.3
Total,Ilfov,1993, Thousands hectares,26.2
Total,Ilfov,1994, Thousands hectares,26.5
Total,Ilfov,1995, Thousands hectares,26.3
Total,Ilfov,1996, Thousands hectares,26.3
Total,Ilfov,1997, Thousands hectares,26.4
Total,Ilfov,1998, Thousands hectares,26.4
Total,Ilfov,1999, Thousands hectares,26.2
Total,Ilfov,2000, Thousands hectares,26.5
Total,Ilfov,2001, Thousands hectares,26.0
Total,Ilfov,2002, Thousands hectares,26.0
Total,Ilfov,2003, Thousands hectares,26.0
Total,Ilfov,2004, Thousands hectares,26.0
Total,Ilfov,2005, Thousands hectares,26.0
Total,Ilfov,2006, Thousands hectares,26.0
Total,Ilfov,2007, Thousands hectares,25.9
Total,Ilfov,2008, Thousands hectares,25.9
Total,Ilfov,2009, Thousands hectares,25.7
Total,Ilfov,2010, Thousands hectares,25.8
Total,Ilfov,2011, Thousands hectares,25.8
Total,Ilfov,2012, Thousands hectares,25.8
Total,Ilfov,2013, Thousands hectares,26.0
Total,Ilfov,2014, Thousands hectares,26.0
Total,Ilfov,2015, Thousands hectares,26.0
Total,Ilfov,2016, Thousands hectares,26.0
Total,Ilfov,2017, Thousands hectares,26.0
Total,Ilfov,2018, Thousands hectares,26.0
Total,Ilfov,2019, Thousands hectares,26.1
Total,Bucuresti,2001, Thousands hectares,0.6
Total,Bucuresti,2002, Thousands hectares,0.6
Total,Bucuresti,2003, Thousands hectares,0.6
Total,Bucuresti,2004, Thousands hectares,0.6
Total,Bucuresti,2005, Thousands hectares,0.6
Total,Bucuresti,2006, Thousands hectares,0.6
Total,Bucuresti,2007, Thousands hectares,0.6
Total,Bucuresti,2008, Thousands hectares,0.6
Total,Bucuresti,2009, Thousands hectares,0.6
Total,Bucuresti,2010, Thousands hectares,0.6
Total,Bucuresti,2011, Thousands hectares,0.6
Total,Bucuresti,2012, Thousands hectares,0.6
Total,Bucuresti,2013, Thousands hectares,0.6
Total,Bucuresti,2014, Thousands hectares,0.6
Total,Bucuresti,2015, Thousands hectares,0.6
Total,Bucuresti,2016, Thousands hectares,0.6
Total,Bucuresti,2017, Thousands hectares,0.6
Total,Bucuresti,2018, Thousands hectares,0.6
Total,Bucuresti,2019, Thousands hectares,0.6
Total,MACROREGIUNEA PATRU,1990, Thousands hectares,1806.7
Total,MACROREGIUNEA PATRU,1991, Thousands hectares,1806.3
Total,MACROREGIUNEA PATRU,1992, Thousands hectares,1806.2
Total,MACROREGIUNEA PATRU,1993, Thousands hectares,1810.1
Total,MACROREGIUNEA PATRU,1994, Thousands hectares,1804.7
Total,MACROREGIUNEA PATRU,1995, Thousands hectares,1803.8
Total,MACROREGIUNEA PATRU,1996, Thousands hectares,1803.9
Total,MACROREGIUNEA PATRU,1997, Thousands hectares,1804.2
Total,MACROREGIUNEA PATRU,1998, Thousands hectares,1804.6
Total,MACROREGIUNEA PATRU,1999, Thousands hectares,1805.0
Total,MACROREGIUNEA PATRU,2000, Thousands hectares,1804.9
Total,MACROREGIUNEA PATRU,2001, Thousands hectares,1805.4
Total,MACROREGIUNEA PATRU,2002, Thousands hectares,1808.3
Total,MACROREGIUNEA PATRU,2003, Thousands hectares,1805.0
Total,MACROREGIUNEA PATRU,2004, Thousands hectares,1806.7
Total,MACROREGIUNEA PATRU,2005, Thousands hectares,1804.4
Total,MACROREGIUNEA PATRU,2006, Thousands hectares,1819.5
Total,MACROREGIUNEA PATRU,2007, Thousands hectares,1828.3
Total,MACROREGIUNEA PATRU,2008, Thousands hectares,1828.3
Total,MACROREGIUNEA PATRU,2009, Thousands hectares,1833.2
Total,MACROREGIUNEA PATRU,2010, Thousands hectares,1844.5
Total,MACROREGIUNEA PATRU,2011, Thousands hectares,1848.0
Total,MACROREGIUNEA PATRU,2012, Thousands hectares,1850.6
Total,MACROREGIUNEA PATRU,2013, Thousands hectares,1858.2
Total,MACROREGIUNEA PATRU,2014, Thousands hectares,1860.9
Total,MACROREGIUNEA PATRU,2015, Thousands hectares,1866.9
Total,MACROREGIUNEA PATRU,2016, Thousands hectares,1867.7
Total,MACROREGIUNEA PATRU,2017, Thousands hectares,1869.9
Total,MACROREGIUNEA PATRU,2018, Thousands hectares,1876.7
Total,MACROREGIUNEA PATRU,2019, Thousands hectares,1880.9
Total,Regiunea SUD-VEST OLTENIA,1990, Thousands hectares,806.5
Total,Regiunea SUD-VEST OLTENIA,1991, Thousands hectares,806.1
Total,Regiunea SUD-VEST OLTENIA,1992, Thousands hectares,805.9
Total,Regiunea SUD-VEST OLTENIA,1993, Thousands hectares,807.6
Total,Regiunea SUD-VEST OLTENIA,1994, Thousands hectares,806.6
Total,Regiunea SUD-VEST OLTENIA,1995, Thousands hectares,799.5
Total,Regiunea SUD-VEST OLTENIA,1996, Thousands hectares,799.6
Total,Regiunea SUD-VEST OLTENIA,1997, Thousands hectares,799.9
Total,Regiunea SUD-VEST OLTENIA,1998, Thousands hectares,801.4
Total,Regiunea SUD-VEST OLTENIA,1999, Thousands hectares,801.7
Total,Regiunea SUD-VEST OLTENIA,2000, Thousands hectares,801.6
Total,Regiunea SUD-VEST OLTENIA,2001, Thousands hectares,801.9
Total,Regiunea SUD-VEST OLTENIA,2002, Thousands hectares,804.1
Total,Regiunea SUD-VEST OLTENIA,2003, Thousands hectares,802.0
Total,Regiunea SUD-VEST OLTENIA,2004, Thousands hectares,803.6
Total,Regiunea SUD-VEST OLTENIA,2005, Thousands hectares,801.7
Total,Regiunea SUD-VEST OLTENIA,2006, Thousands hectares,801.3
Total,Regiunea SUD-VEST OLTENIA,2007, Thousands hectares,804.9
Total,Regiunea SUD-VEST OLTENIA,2008, Thousands hectares,804.1
Total,Regiunea SUD-VEST OLTENIA,2009, Thousands hectares,806.1
Total,Regiunea SUD-VEST OLTENIA,2010, Thousands hectares,806.5
Total,Regiunea SUD-VEST OLTENIA,2011, Thousands hectares,807.5
Total,Regiunea SUD-VEST OLTENIA,2012, Thousands hectares,808.5
Total,Regiunea SUD-VEST OLTENIA,2013, Thousands hectares,810.5
Total,Regiunea SUD-VEST OLTENIA,2014, Thousands hectares,811.3
Total,Regiunea SUD-VEST OLTENIA,2015, Thousands hectares,812.8
Total,Regiunea SUD-VEST OLTENIA,2016, Thousands hectares,812.9
Total,Regiunea SUD-VEST OLTENIA,2017, Thousands hectares,813.6
Total,Regiunea SUD-VEST OLTENIA,2018, Thousands hectares,813.9
Total,Regiunea SUD-VEST OLTENIA,2019, Thousands hectares,813.8
Total,Dolj,1990, Thousands hectares,81.7
Total,Dolj,1991, Thousands hectares,81.7
Total,Dolj,1992, Thousands hectares,81.7
Total,Dolj,1993, Thousands hectares,81.7
Total,Dolj,1994, Thousands hectares,81.7
Total,Dolj,1995, Thousands hectares,82.0
Total,Dolj,1996, Thousands hectares,82.0
Total,Dolj,1997, Thousands hectares,81.9
Total,Dolj,1998, Thousands hectares,83.2
Total,Dolj,1999, Thousands hectares,83.5
Total,Dolj,2000, Thousands hectares,83.5
Total,Dolj,2001, Thousands hectares,83.5
Total,Dolj,2002, Thousands hectares,85.7
Total,Dolj,2003, Thousands hectares,85.6
Total,Dolj,2004, Thousands hectares,85.6
Total,Dolj,2005, Thousands hectares,85.7
Total,Dolj,2006, Thousands hectares,86.4
Total,Dolj,2007, Thousands hectares,86.2
Total,Dolj,2008, Thousands hectares,86.5
Total,Dolj,2009, Thousands hectares,86.4
Total,Dolj,2010, Thousands hectares,86.5
Total,Dolj,2011, Thousands hectares,86.9
Total,Dolj,2012, Thousands hectares,86.9
Total,Dolj,2013, Thousands hectares,88.8
Total,Dolj,2014, Thousands hectares,88.9
Total,Dolj,2015, Thousands hectares,89.0
Total,Dolj,2016, Thousands hectares,89.0
Total,Dolj,2017, Thousands hectares,88.4
Total,Dolj,2018, Thousands hectares,88.5
Total,Dolj,2019, Thousands hectares,88.5
Total,Gorj,1990, Thousands hectares,253.8
Total,Gorj,1991, Thousands hectares,253.4
Total,Gorj,1992, Thousands hectares,253.5
Total,Gorj,1993, Thousands hectares,255.0
Total,Gorj,1994, Thousands hectares,254.9
Total,Gorj,1995, Thousands hectares,248.9
Total,Gorj,1996, Thousands hectares,249.0
Total,Gorj,1997, Thousands hectares,248.8
Total,Gorj,1998, Thousands hectares,248.8
Total,Gorj,1999, Thousands hectares,248.8
Total,Gorj,2000, Thousands hectares,248.7
Total,Gorj,2001, Thousands hectares,248.9
Total,Gorj,2002, Thousands hectares,248.0
Total,Gorj,2003, Thousands hectares,247.9
Total,Gorj,2004, Thousands hectares,247.7
Total,Gorj,2005, Thousands hectares,247.3
Total,Gorj,2006, Thousands hectares,248.1
Total,Gorj,2007, Thousands hectares,249.8
Total,Gorj,2008, Thousands hectares,247.8
Total,Gorj,2009, Thousands hectares,247.8
Total,Gorj,2010, Thousands hectares,248.0
Total,Gorj,2011, Thousands hectares,248.1
Total,Gorj,2012, Thousands hectares,248.1
Total,Gorj,2013, Thousands hectares,248.1
Total,Gorj,2014, Thousands hectares,248.4
Total,Gorj,2015, Thousands hectares,249.2
Total,Gorj,2016, Thousands hectares,249.3
Total,Gorj,2017, Thousands hectares,249.7
Total,Gorj,2018, Thousands hectares,249.7
Total,Gorj,2019, Thousands hectares,249.5
Total,Mehedinti,1990, Thousands hectares,146.2
Total,Mehedinti,1991, Thousands hectares,146.2
Total,Mehedinti,1992, Thousands hectares,146.4
Total,Mehedinti,1993, Thousands hectares,146.4
Total,Mehedinti,1994, Thousands hectares,146.5
Total,Mehedinti,1995, Thousands hectares,146.3
Total,Mehedinti,1996, Thousands hectares,146.3
Total,Mehedinti,1997, Thousands hectares,146.3
Total,Mehedinti,1998, Thousands hectares,146.2
Total,Mehedinti,1999, Thousands hectares,146.2
Total,Mehedinti,2000, Thousands hectares,146.2
Total,Mehedinti,2001, Thousands hectares,146.4
Total,Mehedinti,2002, Thousands hectares,146.2
Total,Mehedinti,2003, Thousands hectares,146.4
Total,Mehedinti,2004, Thousands hectares,146.6
Total,Mehedinti,2005, Thousands hectares,146.9
Total,Mehedinti,2006, Thousands hectares,146.9
Total,Mehedinti,2007, Thousands hectares,147.8
Total,Mehedinti,2008, Thousands hectares,148.0
Total,Mehedinti,2009, Thousands hectares,148.0
Total,Mehedinti,2010, Thousands hectares,148.0
Total,Mehedinti,2011, Thousands hectares,148.1
Total,Mehedinti,2012, Thousands hectares,148.5
Total,Mehedinti,2013, Thousands hectares,148.5
Total,Mehedinti,2014, Thousands hectares,148.5
Total,Mehedinti,2015, Thousands hectares,149.1
Total,Mehedinti,2016, Thousands hectares,149.1
Total,Mehedinti,2017, Thousands hectares,149.8
Total,Mehedinti,2018, Thousands hectares,149.9
Total,Mehedinti,2019, Thousands hectares,149.4
Total,Olt,1990, Thousands hectares,53.3
Total,Olt,1991, Thousands hectares,53.3
Total,Olt,1992, Thousands hectares,53.3
Total,Olt,1993, Thousands hectares,53.3
Total,Olt,1994, Thousands hectares,51.9
Total,Olt,1995, Thousands hectares,51.8
Total,Olt,1996, Thousands hectares,51.8
Total,Olt,1997, Thousands hectares,52.1
Total,Olt,1998, Thousands hectares,52.1
Total,Olt,1999, Thousands hectares,52.1
Total,Olt,2000, Thousands hectares,52.1
Total,Olt,2001, Thousands hectares,52.0
Total,Olt,2002, Thousands hectares,53.1
Total,Olt,2003, Thousands hectares,53.0
Total,Olt,2004, Thousands hectares,53.4
Total,Olt,2005, Thousands hectares,53.0
Total,Olt,2006, Thousands hectares,52.9
Total,Olt,2007, Thousands hectares,53.7
Total,Olt,2008, Thousands hectares,54.4
Total,Olt,2009, Thousands hectares,53.6
Total,Olt,2010, Thousands hectares,53.6
Total,Olt,2011, Thousands hectares,54.0
Total,Olt,2012, Thousands hectares,54.0
Total,Olt,2013, Thousands hectares,54.1
Total,Olt,2014, Thousands hectares,54.1
Total,Olt,2015, Thousands hectares,54.1
Total,Olt,2016, Thousands hectares,54.1
Total,Olt,2017, Thousands hectares,54.1
Total,Olt,2018, Thousands hectares,54.1
Total,Olt,2019, Thousands hectares,54.1
Total,Valcea,1990, Thousands hectares,271.5
Total,Valcea,1991, Thousands hectares,271.5
Total,Valcea,1992, Thousands hectares,271.0
Total,Valcea,1993, Thousands hectares,271.2
Total,Valcea,1994, Thousands hectares,271.6
Total,Valcea,1995, Thousands hectares,270.5
Total,Valcea,1996, Thousands hectares,270.5
Total,Valcea,1997, Thousands hectares,270.8
Total,Valcea,1998, Thousands hectares,271.1
Total,Valcea,1999, Thousands hectares,271.1
Total,Valcea,2000, Thousands hectares,271.1
Total,Valcea,2001, Thousands hectares,271.1
Total,Valcea,2002, Thousands hectares,271.1
Total,Valcea,2003, Thousands hectares,269.1
Total,Valcea,2004, Thousands hectares,270.3
Total,Valcea,2005, Thousands hectares,268.8
Total,Valcea,2006, Thousands hectares,267.0
Total,Valcea,2007, Thousands hectares,267.4
Total,Valcea,2008, Thousands hectares,267.4
Total,Valcea,2009, Thousands hectares,270.3
Total,Valcea,2010, Thousands hectares,270.4
Total,Valcea,2011, Thousands hectares,270.4
Total,Valcea,2012, Thousands hectares,271.0
Total,Valcea,2013, Thousands hectares,271.0
Total,Valcea,2014, Thousands hectares,271.4
Total,Valcea,2015, Thousands hectares,271.4
Total,Valcea,2016, Thousands hectares,271.4
Total,Valcea,2017, Thousands hectares,271.6
Total,Valcea,2018, Thousands hectares,271.7
Total,Valcea,2019, Thousands hectares,272.3
Total,Regiunea VEST,1990, Thousands hectares,1000.2
Total,Regiunea VEST,1991, Thousands hectares,1000.2
Total,Regiunea VEST,1992, Thousands hectares,1000.3
Total,Regiunea VEST,1993, Thousands hectares,1002.5
Total,Regiunea VEST,1994, Thousands hectares,998.1
Total,Regiunea VEST,1995, Thousands hectares,1004.3
Total,Regiunea VEST,1996, Thousands hectares,1004.3
Total,Regiunea VEST,1997, Thousands hectares,1004.3
Total,Regiunea VEST,1998, Thousands hectares,1003.2
Total,Regiunea VEST,1999, Thousands hectares,1003.3
Total,Regiunea VEST,2000, Thousands hectares,1003.3
Total,Regiunea VEST,2001, Thousands hectares,1003.5
Total,Regiunea VEST,2002, Thousands hectares,1004.2
Total,Regiunea VEST,2003, Thousands hectares,1003.0
Total,Regiunea VEST,2004, Thousands hectares,1003.1
Total,Regiunea VEST,2005, Thousands hectares,1002.7
Total,Regiunea VEST,2006, Thousands hectares,1018.2
Total,Regiunea VEST,2007, Thousands hectares,1023.4
Total,Regiunea VEST,2008, Thousands hectares,1024.2
Total,Regiunea VEST,2009, Thousands hectares,1027.1
Total,Regiunea VEST,2010, Thousands hectares,1038.0
Total,Regiunea VEST,2011, Thousands hectares,1040.5
Total,Regiunea VEST,2012, Thousands hectares,1042.1
Total,Regiunea VEST,2013, Thousands hectares,1047.7
Total,Regiunea VEST,2014, Thousands hectares,1049.6
Total,Regiunea VEST,2015, Thousands hectares,1054.1
Total,Regiunea VEST,2016, Thousands hectares,1054.8
Total,Regiunea VEST,2017, Thousands hectares,1056.3
Total,Regiunea VEST,2018, Thousands hectares,1062.8
Total,Regiunea VEST,2019, Thousands hectares,1067.1
Total,Arad,1990, Thousands hectares,203.4
Total,Arad,1991, Thousands hectares,203.4
Total,Arad,1992, Thousands hectares,203.4
Total,Arad,1993, Thousands hectares,207.2
Total,Arad,1994, Thousands hectares,203.7
Total,Arad,1995, Thousands hectares,203.4
Total,Arad,1996, Thousands hectares,203.5
Total,Arad,1997, Thousands hectares,203.5
Total,Arad,1998, Thousands hectares,203.5
Total,Arad,1999, Thousands hectares,203.6
Total,Arad,2000, Thousands hectares,203.4
Total,Arad,2001, Thousands hectares,203.5
Total,Arad,2002, Thousands hectares,204.0
Total,Arad,2003, Thousands hectares,201.7
Total,Arad,2004, Thousands hectares,201.7
Total,Arad,2005, Thousands hectares,200.8
Total,Arad,2006, Thousands hectares,200.8
Total,Arad,2007, Thousands hectares,204.4
Total,Arad,2008, Thousands hectares,205.1
Total,Arad,2009, Thousands hectares,207.7
Total,Arad,2010, Thousands hectares,210.4
Total,Arad,2011, Thousands hectares,211.5
Total,Arad,2012, Thousands hectares,211.5
Total,Arad,2013, Thousands hectares,211.5
Total,Arad,2014, Thousands hectares,211.5
Total,Arad,2015, Thousands hectares,211.5
Total,Arad,2016, Thousands hectares,211.5
Total,Arad,2017, Thousands hectares,211.5
Total,Arad,2018, Thousands hectares,211.7
Total,Arad,2019, Thousands hectares,211.7
Total,Caras-Severin,1990, Thousands hectares,391.2
Total,Caras-Severin,1991, Thousands hectares,391.2
Total,Caras-Severin,1992, Thousands hectares,391.1
Total,Caras-Severin,1993, Thousands hectares,391.2
Total,Caras-Severin,1994, Thousands hectares,390.5
Total,Caras-Severin,1995, Thousands hectares,390.6
Total,Caras-Severin,1996, Thousands hectares,390.6
Total,Caras-Severin,1997, Thousands hectares,390.4
Total,Caras-Severin,1998, Thousands hectares,389.4
Total,Caras-Severin,1999, Thousands hectares,389.1
Total,Caras-Severin,2000, Thousands hectares,389.0
Total,Caras-Severin,2001, Thousands hectares,389.1
Total,Caras-Severin,2002, Thousands hectares,389.1
Total,Caras-Severin,2003, Thousands hectares,388.8
Total,Caras-Severin,2004, Thousands hectares,388.9
Total,Caras-Severin,2005, Thousands hectares,389.1
Total,Caras-Severin,2006, Thousands hectares,403.4
Total,Caras-Severin,2007, Thousands hectares,403.6
Total,Caras-Severin,2008, Thousands hectares,403.0
Total,Caras-Severin,2009, Thousands hectares,403.3
Total,Caras-Severin,2010, Thousands hectares,409.7
Total,Caras-Severin,2011, Thousands hectares,410.4
Total,Caras-Severin,2012, Thousands hectares,410.9
Total,Caras-Severin,2013, Thousands hectares,415.7
Total,Caras-Severin,2014, Thousands hectares,416.2
Total,Caras-Severin,2015, Thousands hectares,420.4
Total,Caras-Severin,2016, Thousands hectares,421.0
Total,Caras-Severin,2017, Thousands hectares,421.3
Total,Caras-Severin,2018, Thousands hectares,427.7
Total,Caras-Severin,2019, Thousands hectares,430.8
Total,Hunedoara,1990, Thousands hectares,304.7
Total,Hunedoara,1991, Thousands hectares,304.7
Total,Hunedoara,1992, Thousands hectares,304.7
Total,Hunedoara,1993, Thousands hectares,303.0
Total,Hunedoara,1994, Thousands hectares,302.9
Total,Hunedoara,1995, Thousands hectares,309.2
Total,Hunedoara,1996, Thousands hectares,309.1
Total,Hunedoara,1997, Thousands hectares,309.1
Total,Hunedoara,1998, Thousands hectares,309.0
Total,Hunedoara,1999, Thousands hectares,309.3
Total,Hunedoara,2000, Thousands hectares,309.1
Total,Hunedoara,2001, Thousands hectares,309.1
Total,Hunedoara,2002, Thousands hectares,309.6
Total,Hunedoara,2003, Thousands hectares,309.7
Total,Hunedoara,2004, Thousands hectares,309.8
Total,Hunedoara,2005, Thousands hectares,309.9
Total,Hunedoara,2006, Thousands hectares,310.9
Total,Hunedoara,2007, Thousands hectares,310.9
Total,Hunedoara,2008, Thousands hectares,311.0
Total,Hunedoara,2009, Thousands hectares,311.6
Total,Hunedoara,2010, Thousands hectares,313.1
Total,Hunedoara,2011, Thousands hectares,313.7
Total,Hunedoara,2012, Thousands hectares,314.5
Total,Hunedoara,2013, Thousands hectares,315.2
Total,Hunedoara,2014, Thousands hectares,316.6
Total,Hunedoara,2015, Thousands hectares,317.0
Total,Hunedoara,2016, Thousands hectares,317.1
Total,Hunedoara,2017, Thousands hectares,317.5
Total,Hunedoara,2018, Thousands hectares,317.5
Total,Hunedoara,2019, Thousands hectares,317.5
Total,Timis,1990, Thousands hectares,100.9
Total,Timis,1991, Thousands hectares,100.9
Total,Timis,1992, Thousands hectares,101.1
Total,Timis,1993, Thousands hectares,101.1
Total,Timis,1994, Thousands hectares,101.0
Total,Timis,1995, Thousands hectares,101.1
Total,Timis,1996, Thousands hectares,101.1
Total,Timis,1997, Thousands hectares,101.3
Total,Timis,1998, Thousands hectares,101.3
Total,Timis,1999, Thousands hectares,101.3
Total,Timis,2000, Thousands hectares,101.8
Total,Timis,2001, Thousands hectares,101.8
Total,Timis,2002, Thousands hectares,101.5
Total,Timis,2003, Thousands hectares,102.8
Total,Timis,2004, Thousands hectares,102.7
Total,Timis,2005, Thousands hectares,102.9
Total,Timis,2006, Thousands hectares,103.1
Total,Timis,2007, Thousands hectares,104.5
Total,Timis,2008, Thousands hectares,105.1
Total,Timis,2009, Thousands hectares,104.5
Total,Timis,2010, Thousands hectares,104.8
Total,Timis,2011, Thousands hectares,104.9
Total,Timis,2012, Thousands hectares,105.2
Total,Timis,2013, Thousands hectares,105.3
Total,Timis,2014, Thousands hectares,105.3
Total,Timis,2015, Thousands hectares,105.2
Total,Timis,2016, Thousands hectares,105.2
Total,Timis,2017, Thousands hectares,106.0
Total,Timis,2018, Thousands hectares,105.9
Total,Timis,2019, Thousands hectares,107.1
Wood,TOTAL,1990, Thousands hectares,6252.3
Wood,TOTAL,1991, Thousands hectares,6253.4
Wood,TOTAL,1992, Thousands hectares,6253.5
